session_id,user_id,role,session_start,session_end,event_count,login_attempts,failed_logins,unique_ips,unique_locations,unique_devices,unique_resources,download_events,upload_events,total_data_mb,max_single_transfer_mb,privileged_actions,is_attack,duration_minutes,start_hour,day_of_week,is_weekend,is_night,failed_login_rate,data_per_event_mb,attack_type,start_hour_deviation,duration_minutes_deviation,event_count_deviation,failed_login_rate_deviation,unique_locations_deviation,unique_devices_deviation,unique_resources_deviation,total_data_mb_deviation,privileged_actions_deviation,behavioral_deviation,personal_history_size,personal_weight,baseline_source,immediate_risk,short_term_risk,medium_term_risk,long_term_risk,persistence_risk,trend_risk,multi_horizon_risk,authentication_abuse,geographic_risk,device_risk,resource_spread_risk,privilege_risk,data_movement_risk,temporal_risk,context_risk,final_risk,trust_decision,learn_allowed,baseline_confidence,evidence_disagreement,quarantine_status,consistency_count,released_from_quarantine,actually_learned
session_cde44dd84ffe,user_040,finance,2026-06-11 08:16:15,2026-06-11 10:16:15,9,4,0,9,1,1,3,3,2,82.062,25.321,0,0,120.0,8.266666666666667,3,0,0,0.0,9.118,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.77,TRUST,True,0.0,1.04,NOT_REQUIRED,0,False,True
session_267b1c60df6a,user_051,analyst,2026-06-11 08:17:49,2026-06-11 14:29:49,22,5,0,22,1,1,4,6,0,39.801,10.314,0,0,372.0,8.283333333333333,3,0,0,0.0,1.809136363636364,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.54,TRUST,True,0.0,2.07,NOT_REQUIRED,0,False,True
session_0b3badbe6689,user_029,admin,2026-06-11 08:20:25,2026-06-11 10:12:25,10,3,0,10,1,1,5,0,0,0.0,0.0,2,0,112.0,8.333333333333334,3,0,0,0.0,0.0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,11.8,4.13,TRUST,True,0.0,5.56,NOT_REQUIRED,0,False,True
session_2496af372b69,user_018,developer,2026-06-11 08:21:15,2026-06-11 14:11:15,22,6,0,22,1,1,5,0,0,0.0,0.0,0,0,350.0,8.35,3,0,0,0.0,0.0,normal,4.0469,1.6422,1.349,0.0,0.0,0.0,0.0,0.0,0.0,0.782,0,0.0,cold_start,32.36,32.36,32.36,32.36,0.0,0.0,27.51,12.0,0.0,0.0,10.0,0.0,0.0,40.47,27.36,29.15,QUARANTINE,False,0.0,2.32,OBSERVING,1,False,False
session_1257271fa88f,user_058,hr,2026-06-11 08:23:59,2026-06-11 13:03:59,17,5,0,17,1,1,3,5,0,71.92,19.147,0,0,280.0,8.383333333333333,3,0,0,0.0,4.2305882352941175,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.54,TRUST,True,0.0,2.07,NOT_REQUIRED,0,False,True
session_132ddab5edb1,user_006,analyst,2026-06-11 08:26:53,2026-06-11 12:07:53,13,3,0,13,1,1,4,4,0,54.171,18.089,0,0,221.0,8.433333333333334,3,0,0,0.0,4.167,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUST,True,0.0,0.0,NOT_REQUIRED,0,False,True
session_80a918ef5efe,user_013,hr,2026-06-11 08:33:11,2026-06-11 13:50:11,21,6,0,21,1,1,3,5,0,24.938,9.548,0,0,317.0,8.55,3,0,0,0.0,1.1875238095238094,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,2.31,TRUST,True,0.0,3.11,NOT_REQUIRED,0,False,True
session_12b070358332,user_074,finance,2026-06-11 08:33:16,2026-06-11 11:01:16,12,2,0,12,1,1,3,2,4,23.346,5.781,0,0,148.0,8.55,3,0,0,0.0,1.9455,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUST,True,0.0,0.0,NOT_REQUIRED,0,False,True
session_843f62d29dc0,user_065,hr,2026-06-11 08:35:32,2026-06-11 12:17:32,13,4,0,13,1,1,3,5,0,60.178,21.973,0,0,222.0,8.583333333333334,3,0,0,0.0,4.629076923076923,normal,1.0117,1.7782,1.349,0.0,0.0,0.0,0.0,1.2047,0.0,0.5937,0,0.0,cold_start,25.68,25.68,25.68,25.68,0.0,0.0,21.83,4.0,0.0,0.0,0.0,0.0,14.46,10.12,11.59,19.59,TRUST,True,0.0,5.95,NOT_REQUIRED,0,False,True
session_28edab2411f8,user_021,finance,2026-06-11 08:41:18,2026-06-11 16:12:18,24,3,0,24,1,1,3,7,2,52.388,7.833,0,0,451.0,8.683333333333334,3,0,0,0.0,2.1828333333333334,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUST,True,0.0,0.0,NOT_REQUIRED,0,False,True
session_38890894d585,user_062,hr,2026-06-11 08:41:45,2026-06-11 13:25:45,18,5,0,18,1,1,3,7,0,78.024,16.152,0,0,284.0,8.683333333333334,3,0,0,0.0,4.334666666666667,normal,0.8798,0.285,0.3372,0.0,0.0,0.0,0.0,0.917,0.0,0.2688,0,0.0,cold_start,12.58,12.58,12.58,12.58,0.0,0.0,10.69,8.0,0.0,0.0,0.0,0.0,11.0,8.8,9.89,11.07,TRUST,True,0.0,1.13,NOT_REQUIRED,0,False,True
session_99ca39078b23,user_049,analyst,2026-06-11 08:49:46,2026-06-11 13:34:46,17,4,0,17,1,1,4,4,0,23.591,8.939,0,0,285.0,8.816666666666666,3,0,0,0.0,1.3877058823529411,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.77,TRUST,True,0.0,1.04,NOT_REQUIRED,0,False,True
session_8f2a4e9b3e2d,user_035,admin,2026-06-11 08:51:53,2026-06-11 11:08:53,9,1,0,9,1,1,3,0,0,0.0,0.0,1,0,137.0,8.85,3,0,0,0.0,0.0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.4,1.54,TRUST,True,0.0,2.07,NOT_REQUIRED,0,False,True
session_f4f635eee557,user_034,finance,2026-06-11 08:54:16,2026-06-11 14:43:16,24,7,0,24,1,1,3,4,4,59.452,12.945,0,0,349.0,8.9,3,0,0,0.0,2.4771666666666667,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,3.08,TRUST,True,0.0,4.15,NOT_REQUIRED,0,False,True
session_e0f5f705a70b,user_038,developer,2026-06-11 08:55:06,2026-06-11 13:43:06,18,5,0,18,1,1,5,0,0,0.0,0.0,0,0,288.0,8.916666666666666,3,0,0,0.0,0.0,normal,15.5133,0.7331,0.4497,0.0,0.0,0.0,0.0,0.0,0.0,1.2425,0,0.0,cold_start,46.27,46.27,46.27,46.27,20.0,0.0,41.33,8.0,0.0,0.0,10.0,0.0,0.0,100.0,59.2,49.31,REJECT,False,0.0,7.53,REJECTED,0,False,False
session_1bbbafcea7b6,user_028,developer,2026-06-11 08:56:17,2026-06-11 14:09:17,22,7,0,22,1,1,5,0,0,0.0,0.0,0,0,313.0,8.933333333333334,3,0,0,0.0,0.0,normal,15.8505,1.0997,1.349,0.0,0.0,0.0,0.0,0.0,0.0,1.3832,0,0.0,cold_start,49.92,49.92,49.92,49.92,20.0,0.0,44.43,16.0,0.0,0.0,10.0,0.0,0.0,100.0,61.3,52.26,REJECT,False,0.0,7.03,REJECTED,0,False,False
session_b7d1a4ea7b59,user_014,hr,2026-06-11 08:57:38,2026-06-11 11:21:38,10,2,0,10,1,1,3,3,0,25.317,9.203,0,0,144.0,8.95,3,0,0,0.0,2.5317,normal,1.274,4.1696,2.3607,0.0,0.0,0.0,0.0,1.3176,0.0,1.0135,0,0.0,cold_start,39.75,39.75,39.75,39.75,20.0,0.0,35.79,0.0,0.0,0.0,0.0,0.0,15.81,12.74,12.52,29.03,QUARANTINE,False,0.0,12.01,OBSERVING,1,False,False
session_3134450ea138,user_044,developer,2026-06-11 09:01:12,2026-06-11 15:09:12,21,4,0,21,1,1,5,0,0,0.0,0.0,0,0,368.0,9.016666666666667,3,0,0,0.0,0.0,normal,17.5368,1.9062,1.1242,0.0,0.0,0.0,0.0,0.0,0.0,1.4478,0,0.0,cold_start,51.51,51.51,51.51,51.51,20.0,0.0,45.79,4.0,0.0,0.0,10.0,0.0,0.0,100.0,58.6,52.28,REJECT,False,0.0,5.24,REJECTED,0,False,False
session_c7420e49c0d3,user_024,hr,2026-06-11 09:04:11,2026-06-11 14:52:11,20,8,0,20,1,1,3,1,0,16.371,16.371,0,0,348.0,9.066666666666666,3,0,0,0.0,0.8185499999999999,normal,1.5363,2.0848,1.0117,0.0,0.0,0.0,0.0,1.6557,0.0,0.6987,0,0.0,cold_start,29.49,29.49,29.49,29.49,0.0,0.0,25.06,20.0,0.0,0.0,0.0,0.0,19.87,15.36,19.26,24.58,TRUST,True,0.0,4.19,NOT_REQUIRED,0,False,True
session_5ef8d1b605ba,user_001,finance,2026-06-11 09:04:15,2026-06-11 12:22:15,11,1,0,11,1,1,3,4,3,88.963,18.82,0,0,198.0,9.066666666666666,3,0,0,0.0,8.087545454545454,normal,1.23,0.0899,0.4497,0.0,0.0,0.0,0.0,3.4923,0.0,0.5847,0,0.0,cold_start,25.35,25.35,25.35,25.35,0.0,0.0,21.55,0.0,0.0,0.0,0.0,0.0,41.91,12.3,26.74,24.7,TRUST,True,0.0,2.19,NOT_REQUIRED,0,False,True
session_feed07f256b1,user_072,hr,2026-06-11 09:06:11,2026-06-11 10:55:11,11,3,0,11,1,1,3,3,0,33.436,15.437,0,0,109.0,9.1,3,0,0,0.0,3.0396363636363635,normal,1.2205,3.9555,2.1921,0.0,0.0,0.0,0.0,0.2229,0.0,0.8434,0,0.0,cold_start,34.41,34.41,34.41,34.41,0.0,0.0,29.25,0.0,0.0,0.0,0.0,0.0,2.67,12.2,7.52,23.45,TRUST,True,0.0,11.65,NOT_REQUIRED,0,False,True
session_0e58226f911c,user_012,analyst,2026-06-11 09:06:47,2026-06-11 15:06:47,23,3,0,23,1,1,4,10,0,47.171,8.182,0,0,360.0,9.1,3,0,0,0.0,2.050913043478261,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUST,True,0.0,0.0,NOT_REQUIRED,0,False,True
session_4679c2484694,user_016,developer,2026-06-11 09:09:31,2026-06-11 13:35:31,16,3,0,16,1,1,5,0,0,0.0,0.0,0,0,266.0,9.15,3,0,0,0.0,0.0,normal,20.2347,0.4106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1567,0,0.0,cold_start,43.92,43.92,43.92,43.92,20.0,0.0,39.33,0.0,0.0,0.0,10.0,0.0,0.0,100.0,58.0,47.47,REJECT,False,0.0,7.94,REJECTED,0,False,False
session_dcb9285ca5b2,user_027,developer,2026-06-11 09:10:05,2026-06-11 13:03:05,12,2,0,12,1,1,5,0,0,0.0,0.0,0,0,233.0,9.166666666666666,3,0,0,0.0,0.0,normal,20.572,0.0733,0.8993,0.0,0.0,0.0,0.0,0.0,0.0,1.2192,0,0.0,cold_start,45.64,45.64,45.64,45.64,20.0,0.0,40.8,0.0,0.0,0.0,10.0,0.0,0.0,100.0,58.0,48.51,REJECT,False,0.0,7.24,REJECTED,0,False,False
session_92a9d93c3478,user_039,developer,2026-06-11 09:11:07,2026-06-11 13:11:07,14,2,0,14,1,1,5,0,0,0.0,0.0,0,0,240.0,9.183333333333334,3,0,0,0.0,0.0,normal,20.9092,0.0293,0.4497,0.0,0.0,0.0,0.0,0.0,0.0,1.1643,0,0.0,cold_start,44.13,44.13,44.13,44.13,20.0,0.0,39.51,0.0,0.0,0.0,10.0,0.0,0.0,100.0,58.0,47.6,REJECT,False,0.0,7.86,REJECTED,0,False,False
session_a9cec07f9a9c,user_023,developer,2026-06-11 09:12:22,2026-06-11 14:36:22,18,6,0,18,1,1,5,0,0,0.0,0.0,0,0,324.0,9.2,3,0,0,0.0,0.0,normal,21.2465,1.261,0.4497,0.0,0.0,0.0,0.0,0.0,0.0,1.3012,0,0.0,cold_start,47.83,47.83,47.83,47.83,20.0,0.0,42.65,12.0,0.0,0.0,10.0,0.0,0.0,100.0,60.1,50.57,REJECT,False,0.0,7.32,REJECTED,0,False,False
session_b29edd7038ad,user_077,admin,2026-06-11 09:13:53,2026-06-11 12:12:53,16,4,0,16,1,1,5,0,0,0.0,0.0,2,0,179.0,9.216666666666669,3,0,0,0.0,0.0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,16.0,0.0,0.0,12.4,4.34,TRUST,True,0.0,5.85,NOT_REQUIRED,0,False,True
session_793406e9a95c,user_066,developer,2026-06-11 09:21:17,2026-06-11 14:39:17,18,2,0,18,1,1,5,0,0,0.0,0.0,0,0,318.0,9.35,3,0,0,0.0,0.0,normal,24.2817,1.173,0.4497,0.0,0.0,0.0,0.0,0.0,0.0,1.2914,0,0.0,cold_start,47.57,47.57,47.57,47.57,20.0,0.0,42.43,0.0,0.0,0.0,10.0,0.0,0.0,100.0,58.0,49.68,REJECT,False,0.0,6.48,REJECTED,0,False,False
session_5973bc98dec9,user_031,developer,2026-06-11 09:25:49,2026-06-11 15:51:49,23,4,0,23,1,1,5,0,0,0.0,0.0,0,0,386.0,9.416666666666666,3,0,0,0.0,0.0,normal,25.6306,2.1701,1.5738,0.0,0.0,0.0,0.0,0.0,0.0,1.5271,0,0.0,cold_start,53.4,53.4,53.4,53.4,20.0,0.0,47.39,4.0,0.0,0.0,10.0,0.0,0.0,100.0,58.6,53.42,REJECT,False,0.0,4.58,REJECTED,0,False,False
session_e17d617107f1,user_020,finance,2026-06-11 09:26:03,2026-06-11 14:57:03,20,3,0,20,1,1,3,4,2,113.714,27.015,0,0,331.0,9.433333333333334,3,0,0,0.0,5.6857,normal,1.7395,1.2237,1.2526,0.0,0.0,0.0,0.0,2.256,0.0,0.7191,0,0.0,cold_start,30.2,30.2,30.2,30.2,0.0,0.0,25.67,0.0,0.0,0.0,0.0,0.0,27.07,17.39,20.11,25.31,QUARANTINE,False,0.0,4.13,OBSERVING,1,False,False
session_a5868e8b41f1,user_010,finance,2026-06-11 09:27:42,2026-06-11 14:51:42,18,2,0,18,1,1,3,3,2,33.103,14.555,0,0,324.0,9.45,3,0,0,0.0,1.839055555555556,normal,1.775,1.1563,0.8672,0.0,0.0,0.0,0.0,0.8907,0.0,0.521,0,0.0,cold_start,22.93,22.93,22.93,22.93,0.0,0.0,19.49,0.0,0.0,0.0,0.0,0.0,10.69,17.75,12.97,18.41,TRUST,True,0.0,4.13,NOT_REQUIRED,0,False,True
session_db896d451168,user_045,admin,2026-06-11 09:34:20,2026-06-11 16:07:20,22,1,0,22,1,1,5,0,0,0.0,0.0,4,0,393.0,9.566666666666666,3,0,0,0.0,0.0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,32.0,0.0,0.0,20.6,7.21,TRUST,True,0.0,9.71,NOT_REQUIRED,0,False,True
session_c6c8a607b0dc,user_067,analyst,2026-06-11 09:38:10,2026-06-11 14:50:10,18,5,0,18,1,1,4,4,0,43.098,15.145,0,0,312.0,9.633333333333333,3,0,0,0.0,2.394333333333333,normal,2.1114,0.2428,0.1349,0.0,0.0,0.0,0.0,0.3017,0.0,0.3101,0,0.0,cold_start,14.36,14.36,14.36,14.36,0.0,0.0,12.21,8.0,0.0,0.0,0.0,0.0,3.62,21.11,14.56,13.79,TRUST,True,0.0,1.06,NOT_REQUIRED,0,False,True
session_2af60016f787,user_003,developer,2026-06-11 09:38:15,2026-06-11 14:27:15,22,7,0,22,1,1,5,0,0,0.0,0.0,0,0,289.0,9.633333333333333,3,0,0,0.0,0.0,normal,30.0148,0.7478,1.349,0.0,0.0,0.0,0.0,0.0,0.0,1.3441,0,0.0,cold_start,48.93,48.93,48.93,48.93,20.0,0.0,43.59,16.0,0.0,0.0,10.0,0.0,0.0,100.0,61.3,51.66,REJECT,False,0.0,7.42,REJECTED,0,False,False
session_548baa9e9759,user_015,finance,2026-06-11 09:39:15,2026-06-11 12:48:15,11,1,0,11,1,1,3,2,2,16.634,5.327,0,0,189.0,9.65,3,0,0,0.0,1.5121818181818183,normal,1.7009,0.1574,0.6745,0.0,0.0,0.0,0.0,1.2505,0.0,0.4204,0,0.0,cold_start,18.96,18.96,18.96,18.96,0.0,0.0,16.11,0.0,0.0,0.0,0.0,0.0,15.01,17.01,13.86,16.32,TRUST,True,0.0,2.09,NOT_REQUIRED,0,False,True
session_e13f1aab700e,user_019,developer,2026-06-11 09:39:29,2026-06-11 14:47:29,21,6,0,21,1,1,5,0,0,0.0,0.0,0,0,308.0,9.65,3,0,0,0.0,0.0,normal,30.3521,1.0264,1.1242,0.0,0.0,0.0,0.0,0.0,0.0,1.3501,0,0.0,cold_start,49.09,49.09,49.09,49.09,20.0,0.0,43.72,12.0,0.0,0.0,10.0,0.0,0.0,100.0,60.1,51.33,REJECT,False,0.0,6.82,REJECTED,0,False,False
session_91eb7de95cad,user_080,hr,2026-06-11 09:42:46,2026-06-11 13:31:46,13,5,0,13,1,1,3,1,0,11.602,11.602,0,0,229.0,9.7,3,0,0,0.0,0.8924615384615385,normal,1.5013,0.9297,0.8993,0.0,0.0,0.0,0.0,0.5507,0.0,0.4312,0,0.0,cold_start,19.39,19.39,19.39,19.39,0.0,0.0,16.49,8.0,0.0,0.0,0.0,0.0,6.61,15.01,11.65,15.81,TRUST,True,0.0,3.19,NOT_REQUIRED,0,False,True
session_1607021f3a31,user_030,hr,2026-06-11 09:43:58,2026-06-11 14:55:58,19,4,0,19,1,1,3,6,0,65.917,13.544,0,0,312.0,9.716666666666669,3,0,0,0.0,3.469315789473684,normal,1.5013,0.6667,0.4818,0.0,0.0,0.0,0.0,1.1921,0.0,0.4269,0,0.0,cold_start,19.22,19.22,19.22,19.22,0.0,0.0,16.34,4.0,0.0,0.0,0.0,0.0,14.31,15.01,13.15,16.23,TRUST,True,0.0,2.48,NOT_REQUIRED,0,False,True
session_5a8cae8d1734,user_036,developer,2026-06-11 09:47:24,2026-06-11 12:35:24,10,2,0,10,1,1,5,0,0,0.0,0.0,0,0,168.0,9.783333333333331,3,0,0,0.0,0.0,normal,33.05,1.0264,1.349,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0,0.0,cold_start,49.72,49.72,49.72,49.72,20.0,0.0,44.26,0.0,0.0,0.0,10.0,0.0,0.0,100.0,58.0,50.98,REJECT,False,0.0,5.65,REJECTED,0,False,False
session_3e9f02bf4adb,user_070,admin,2026-06-11 09:48:08,2026-06-11 13:23:08,13,3,0,13,1,1,5,0,0,0.0,0.0,2,0,215.0,9.8,3,0,0,0.0,0.0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,11.8,4.13,TRUST,True,0.0,5.56,NOT_REQUIRED,0,False,True
session_3146fd27b8b5,user_043,hr,2026-06-11 09:49:24,2026-06-11 14:54:24,22,5,0,22,1,1,3,7,0,50.429,10.175,0,0,305.0,9.816666666666666,3,0,0,0.0,2.292227272727273,normal,1.6101,0.4557,1.1242,0.0,0.0,0.0,0.0,0.4286,0.0,0.4021,0,0.0,cold_start,18.21,18.21,18.21,18.21,0.0,0.0,15.48,8.0,0.0,0.0,0.0,0.0,5.14,16.1,12.03,15.23,TRUST,True,0.0,2.53,NOT_REQUIRED,0,False,True
session_84ada3cb28ab,user_037,developer,2026-06-11 09:51:29,2026-06-11 13:45:29,15,3,0,15,1,1,5,0,0,0.0,0.0,0,0,234.0,9.85,3,0,0,0.0,0.0,normal,34.399,0.0587,0.2248,0.0,0.0,0.0,0.0,0.0,0.0,1.1426,0,0.0,cold_start,43.52,43.52,43.52,43.52,20.0,0.0,38.99,0.0,0.0,0.0,10.0,0.0,0.0,100.0,58.0,47.23,REJECT,False,0.0,8.11,REJECTED,0,False,False
